Species,SL_mm,Calanoid_Copepod,Harpactacoid_Copepod,Amphipod,Shrimp,Polycheate,Larval_Fish,Empty_Stomach
Micropogonias undulatus,15_20,0,0,1,0,0,0,0
Micropogonias undulatus,15_20,0,1,0,0,0,0,0
Micropogonias undulatus,15_20,1,0,1,0,0,0,0
Micropogonias undulatus,15_20,1,0,1,0,0,0,0
Micropogonias undulatus,15_20,1,1,0,1,0,0,0
Micropogonias undulatus,10_15,1,0,0,0,0,0,0
Micropogonias undulatus,10_15,0,0,0,0,0,0,1
Micropogonias undulatus,10_15,0,0,1,0,0,0,0
Micropogonias undulatus,10_15,1,1,0,0,0,0,0
Micropogonias undulatus,10_15,1,0,0,0,0,0,0
Micropogonias undulatus,5_10,1,1,0,0,0,0,0
Micropogonias undulatus,5_10,1,0,0,0,0,0,0
Micropogonias undulatus,5_10,1,0,0,0,1,0,0
Micropogonias undulatus,5_10,1,0,0,0,0,0,0
Micropogonias undulatus,5_10,1,0,0,0,0,0,0
Cynoscion nebulosus,15_20,1,0,0,0,0,1,0
Cynoscion nebulosus,15_20,1,0,0,0,0,1,0
Cynoscion nebulosus,15_20,1,0,0,0,0,0,0
Cynoscion nebulosus,15_20,1,0,0,0,0,1,0
Cynoscion nebulosus,10_15,0,0,0,0,0,0,1
Cynoscion nebulosus,10_15,1,0,0,0,0,1,0
Cynoscion nebulosus,10_15,1,0,0,0,0,0,0
Cynoscion nebulosus,10_15,1,0,0,0,0,0,0
Cynoscion nebulosus,10_15,1,0,0,0,0,0,0
Cynoscion nebulosus,10_15,1,0,0,0,0,1,0
Cynoscion nebulosus,5_10,1,0,0,0,0,0,0
Cynoscion nebulosus,5_10,1,0,0,0,0,0,0
Cynoscion nebulosus,5_10,1,1,0,0,0,0,0
Cynoscion nebulosus,5_10,1,0,1,0,0,0,0
Cynoscion nebulosus,5_10,0,0,0,0,0,0,1
